index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol	prop13	par13	min13	max13
Zakarum's Salvation	303	100			1							5	5000																																																									0				
Fleshripper	304	100	1		1		76	68	7kr	fanged knife		5	5000	dred	dred		invkrsu				dmg%		200	300	reduce-ac		50	50	noheal		1	1	crush		25	25	openwounds		50	50	deadly		33	33	slow		20	20																						0				
Odium	305	100			1							5	5000	blac																																																								0				
Horizon's Tornado	306	100	1		5		72	64	7fl	scourge		5	5000	dpur	dpur						dmg%		230	280	swing2		50	50	slow		20	20	hit-skill	Tornado	20	15	ease		-20	-20																														0				
Stone Crusher	307	100	1		4		76	68	7wh	legendary mallet		5	5000	whit							dmg%		280	320	str		20	30	crush		40	40	reduce-ac		25	25	dmg-ac		-100	-100	dmg		10	30																										0				
Jadetalon	308	100	1		1		74	66	7wb	wrist sword		5	5000	cgrn	cgrn						dmg%		190	240	regen-mana		10	15	res-all		40	50	balance2		30	30	skilltab	19	1	2	skilltab	20	1	2																										0				
Shadowdancer	309	100	1		1		79	71	uhb	myrmidon greaves		5	5000	blac	blac						ac%		70	100	move2		30	30	balance2		30	30	dex		15	25	skilltab	19	1	2	ease		-20	-20																										0				
Cerebus	310	100	1		1		71	63	drb	blood spirit		5	5000	bwht	bwht						ac%		130	140	skilltab	16	2	4	hp%		7	10	att%		60	120	openwounds		33	33	skill	feral rage	1	2																										0				
Tyrael's Might	311	100	1		1		87	84	uar	sacred armor		5	5000	dblu	dblu		invaaru				ease		-100	-100	indestruct		1	1	ac%		120	150	rip		1	1	dmg-demon		50	100	nofreeze		1	1	move2		20	20	res-all		20	30	str		20	30														0				
Souldrain	312	100	1		1		82	74	umg	vambraces		5	5000	dred	dred						ac%		90	120	regen-mana		4	7	hp%		4	7	hit-skill	Weaken	8	3	dmg-ac		-50	-50																														0				
Runemaster	313	100	1		1		80	72	72a	ettin axe		5	5000	lblu	lblu						dmg%		220	270	sock		3	5	res-cold-max		5	5	nofreeze		1	1																																		0				
Deathcleaver	314	100	1		1		78	70	7wa	berserker axe		5	5000	dred							dmg%		230	280	deadly		66	66	reduce-ac		33	33	swing2		40	40	heal-kill		6	9																														0				
Executioner's Justice	315	100	1		1		83	75	7gi	glorious axe		5	5000	blac	blac						dmg%		240	290	crush		25	25	reduce-ac		33	33	kill-skill	Decrepify	50	6	swing2		30	30																														0				
Stoneraven	316	100	1		1		72	64	amd	matriarchal spear		5	5000	dgry							dmg%		230	280	dmg-mag		101	187	res-all		30	50	ac		400	600	skilltab	2	1	3																														0				
Leviathan	317	100	1		1		73	65	uld	kraken shell		5	5000	cgrn	cgrn						ac%		170	200	ac		100	150	red-dmg%		15	25	str		40	50	indestruct		1	1																														0				
Larzuk's Champion	318	100			1							5	5000	lgry		flphmr	invhfh																																																					0				
Wisp	319	100	1		1		84	76	rin	ring		5	5000	bwht	bwht						abs-ltng%		10	20	hit-skill	Lightning	10	16	mag%		10	20	charged	Oak Sage	15	2	charged	Heart of Wolverine	13	5	charged	Spirit of Barbs	11	7																										0				
Gargoyle's Bite	320	100	1		1		78	70	7ts	winged harpoon		5	5000	cgrn	cgrn						dmg%		180	230	rep-quant	30			dmg-pois	250	300	300	hp%		9	15	charged	Plague Javelin	60	11																														0				
Lacerator	321	100	1		1		76	68	7b8	winged axe		5	5000	blac	blac						dmg%		150	210	rep-quant	25			swing2		30	30	noheal		1	1	openwounds		33	33	howl		64	64	hit-skill	Amplify Damage	33	3																						0				
Mang Song's Lesson	322	100	1		1		86	82	6ws	archon staff		5	5000	dgld	dgld		inv8wsu				allskills		5	5	pierce-fire		7	15	pierce-ltng		7	15	pierce-cold		7	15	regen-mana		10	10	cast2		30	30																										0				
Viperfork	323	100	1		1		79	71	7br	war fork		5	5000	dgrn	dgrn						dmg%		190	240	dmg-pois	250	333	333	swing2		50	50	att		200	250	hit-skill	Poison Explosion	15	9	res-pois		30	50																										0				
Ethereal Edge	324	100	1		1		82	74	7ba	silver-edged axe		5	5000	whit	whit						dmg%		150	180	swing2		25	25	abs-fire		10	12	dmg-demon		150	200	demon-heal		5	10	att		270	350	ethereal		1	1	indestruct		1	1																		0				
Demonhorn's Edge	325	100	1		1		69	61	bad	destroyer helm		5	5000	dgry	dgry						ac%		120	160	swing2		10	10	hp%		3	6	thorns		55	77	skilltab	12	1	3	skilltab	13	1	3	skilltab	14	1	3																						0				
The Reaper's Toll	326	100	1		1		83	75	7s8	thresher		5	5000				invscy				dmg%		190	240	hit-skill	Decrepify	33	1	ignore-ac		1	1	hp%		11	15	ease		-25	-25	deadly		33	33	dmg-cold		4	44																						0				
Spiritkeeper	327	100	1		1		75	67	drd	earth spirit		5	5000								ac%		170	190	balance2		20	20	abs-ltng		9	14	res-fire		30	40	abs-cold%		15	25	res-pois-max		10	10	dru		1	2																						0				
Hellrack	328	100	1		1		84	76	6hx	colossus crossbow		5	5000	cred			invhxbu				dmg%		180	230	dmg-elem	33	63	324	swing2		20	20	att%		100	150	sock		2	2	charged	Immolation Arrow	150	18																										0				
Alma Negra	329	100	1		1		85	77	pac	sacred rondache		5	5000	blac	blac						ac%		180	210	block2		30	30	pal		1	2	block		20	20	red-mag		5	9	att%		40	75	dmg%		40	75																						0				
Darkforge Spawn	330	100	1		1		72	64	nef	bloodlord skull		5	5000	cred	cred						ac%		140	180	cast2		30	30	mana%		10	10	skilltab	6	1	3	skilltab	7	1	3	skilltab	8	1	3																										0				
Widowmaker	331	100	1		1		73	65	6sw	ward bow		5	5000	dred	dred		invswbu				dmg%		150	200	deadly		33	33	ignore-ac		1	1	magicarrow		11	11	oskill	Guided Arrow	3	5																														0				
Bloodraven's Charge	332	100	1		1		79	71	amb	matriarchal bow		5	5000	dgld	dgld		invswbu				dmg%		180	230	att%		200	300	explosivearrow		13	13	skilltab	0	2	4	charged	Revive	30	5																														0				
Ghostflame	333	100	1		1		70	62	7bl	legend spike		5	5000	cblu	cblu						dmg%		190	240	ignore-ac		1	1	dmg-mag		108	108	regen-mana		10	15	ethereal		1	1	indestruct		1	1	light		2	2																						0				
Shadowkiller	334	100	1		1		85	78	7cs	battle cestus		5	5000				invaxfu				dmg%		170	220	reduce-ac		25	25	freeze		2	2	mana-kill		10	15	hit-skill	Frost Nova	33	8	ethereal		1	1	indestruct		1	1																						0				
Gimmershred	335	100	1		1		78	70	7ta	flying axe		5	5000	lgrn							dmg%		160	210	dmg-fire		218	483	dmg-cold	100	176	397	dmg-ltng		29	501	stack		60	60	swing2		30	30																										0				
Griffon's Eye	336	100	1		1		84	76	ci3	diadem		5	5000								ac		100	200	cast2		25	25	allskills		1	1	extra-ltng		10	15	pierce-ltng		15	20																														0				
Windhammer	337	100	1		1		76	68	7m7	ogre maul		5	5000	cblu	cblu		invmau				dmg%		180	230	crush		50	50	swing2		60	60	hit-skill	Twister	33	22																																		0				
Thunderstroke	338	100	1		1		77	69	amf	matriarchal javelin		5	5000	dblu	dblu						dmg%		150	200	dmg-ltng		1	511	hit-skill	Lightning	20	14	swing2		15	15	pierce-ltng		15	15	skill	Lightning Bolt	3	3	skilltab	2	2	4																						0				
Giantmaimer	339	100			1							5	5000	cred	cred																																																							0				
Demon's Arch	340	100	1		1		76	68	7s7	balrog spear		5	5000	cred	cred						dmg%		160	210	dmg-fire		232	323	hp%		6	12	rep-quant	30			swing2		30	30	dmg-ltng		23	333																										0				
Boneflame	341	100	1		1		80	72	nee	succubae skull		3	5000	dred	dred						ac%		120	150	move2		20	20	gethit-skill	Terror	15	3	nec		2	3	res-all		20	30																														0				
Steelpillar	342	100	1		1		77	69	7p7	war pike		3	5000								dmg%		210	260	swing2		25	25	reduce-ac		20	20	ac%		50	80	indestruct		1	1	crush		25	25																										0				
Nightwing's Veil	343	100	1		1		75	67	uhm	spired helm		3	5000	cblu	cblu						ac%		90	120	allskills		2	2	dex		10	20	abs-cold		5	9	half-freeze		1	1	extra-cold		8	15	ease		-50	-50																						0				
Crown of Ages	344	100	1		1		86	82	urn	corona		3	5000	dgld	dgld						balance2		30	30	res-all		20	30	allskills		1	1	ac		100	150	indestruct		1	1	red-dmg%		10	15	ac%		50	50	sock		1	2																		0				
Andariel's Visage	345	100	1		1		85	83	usk	demonhead		3	5000	dred	dred						ac%		100	150	res-pois		70	70	allskills		2	2	res-pois-max		10	10	swing2		20	20	str		25	30	gethit-skill	92	15	15	charged	278	20	3	hp%		8	10	res-fire		-30	-30										0				
Darkfear	346	100			1				ulm	armet		5	5000	blac			invhlmu																																																					0				
Dragonscale	347	100	1		1		84	80	pae	zakarum shield		3	5000	dgrn	dgrn						ac%		170	200	abs-fire%		10	20	res-fire-max		5	5	str		15	25	dmg-fire		211	371	oskill	Hydra	10	10	extra-fire		15	15																						0				
Steel Carapice	348	100	1		1		74	66	uul	shadow plate		3	5000	dgry	dgry						ac%		190	220	balance2		20	20	red-dmg		9	14	res-cold		40	60	regen-mana		10	15	rep-dur	5			gethit-skill	Iron Maiden	8	6																						0				
Medusa's Gaze	349	100	1		1		84	76	uow	aegis		3	5000	lred	lred		invtowu				ac%		150	180	slow		20	20	gethit-skill	Lower Resist	10	7	hp%		5	9	death-skill	Nova	100	44	res-cold		40	80																										0				
Ravenlore	350	100	1		1		82	74	dre	sky spirit		3	5000	dgld	dgld						ac%		120	150	res-all		15	25	skilltab	17	3	3	enr		20	30	pierce-fire		10	20	skill	Raven	7	7																										0				
Boneshade	351	100	1		1		84	79	7bw	lich wand		3	5000	dgry	dgry		invbwnu				nec		2	2	cast2		25	25	skill	Teeth	4	5	skill	Bone Armor	4	5	skill	Bone Spear	2	3	skill	Bone Spirit	1	2	skill	Bone Wall	2	3																						0				
Nethercrow	352	100			1							3	5000	cblu	cblu																																																							0				
Flamebellow	353	100	1		1		79	71	7gs	balrog blade		3	5000	cred	cred		invgisu				dmg%		170	240	dmg-fire		233	482	fireskill		3	3	abs-fire%		20	30	hit-skill	Firestorm	12	16	str		10	20	vit		5	10	oskill	Inferno	12	18																		0				
Fathom	354	100	1		1		81	73	obf	dimensional shard		3	5000	lblu							sor		3	3	extra-cold		15	30	cast2		20	20	res-fire		25	40	res-ltng		25	40																														0				
Wolfhowl	355	100	1		1		85	79	bac	fury visor		3	5000	cred	cred						ac%		120	150	skilltab	14	2	3	str		8	15	dex		8	15	vit		8	15	oskill	Wearwolf	3	6	charged	Summon Fenris	18	15	oskill	Shape Shifting	3	6	oskill	Feral Rage	3	6														0				
Spirit Ward	356	100	1		1		76	68	uts	ward		3	5000	dblu	dblu		invgtsu				ac%		130	180	abs-cold		6	11	res-all		30	40	block		20	30	block2		25	25	gethit-skill	Fade	5	8																										0				
Kira's Guardian	357	100	1		1		85	77	ci2	tiara		3	5000	blac	blac						ac		50	120	res-all		50	70	nofreeze		1	1	balance2		20	20																																		0				
Ormus' Robes	358	100	1		1		83	75	uui	dusk shroud		3	5000	blac	blac						ac		10	20	cast2		20	20	extra-fire		10	15	extra-cold		10	15	extra-ltng		10	15	regen-mana		10	15	skill-rand	3	36	60																						0				
Gheed's Fortune	359	100	1		1		70	62	cm3	charm	1	3	5000	lgld							mag%		20	40	gold%		80	160	cheap		10	15																																						0				
Stormlash	360	100	1		1		86	82	7fl	scourge		3	5000	dgry	dgry						dmg%		240	300	swing2		30	30	hit-skill	Static Field	15	10	hit-skill	Tornado	20	18	dmg-ltng		1	473	light-thorns		30	30	crush		33	33	abs-ltng		3	9																		0				
Halaberd's Reign	361	100	1		1		85	77	bae	conqueror crown		3	5000								ac%		140	170	skilltab	13	1	1	bar		2	2	balance2		20	20	hp%		15	23	skill	Battle Orders	1	2	skill	Battle Command	1	2																						0				
Warriv's Warder	362	100			1							3	5000																																																									0				
Spike Thorn	363	100	1		1		78	70	upk	blade barrier		5	5000	dyel	dyel		invspku				ac%		120	150	thorns/lvl	11			dur		250	250	balance2		30	30	red-dmg%		15	20	sock		1	1																										0				
Dracul's Grasp	364	100	1		1		84	76	uvg	vampirebone gloves		5	5000	dred	dred						ac%		90	120	hp%		7	10	openwounds		25	25	hit-skill	Life Tap	5	10	heal-kill		5	10	str		10	15																										0				
Frostwind	365	100	1		1		78	70	7ls	cryptic sword		5	5000	cblu	cblu		invlsdu				dmg%		180	230	freeze		4	4	half-freeze		1	1	dmg-cold	150	237	486	swing2		25	25	abs-cold%		7	15	oskill	Arctic Blast	7	14																						0				
Templar's Might	366	100	1		8		82	74	uar	sacred armor		5	5000	cgrn	cgrn		invaaru				ac%		170	220	balance2		20	20	ac-miss		250	300	stam		40	50	str		10	15	vit		10	15	skilltab	10	1	2																						0				
Eschuta's temper	367	100	1		1		80	72	obc	eldritch orb		5	5000	cred							sor		1	3	cast2		40	40	extra-fire		10	20	extra-ltng		10	20	enr		20	30																														0				
Firelizard's Talons	368	100	1		1		75	67	7lw	feral claws		5	5000								dmg%		200	270	swing2		15	15	skilltab	20	1	3	dmg-fire		236	480	res-fire		40	70	skill	Wake of Fire Sentry	1	2	skill	Inferno Sentry	1	2																						0				
Sandstorm Trek	369	100	1		1		72	64	uvb	scarabshell boots		5	5000								ac%		140	170	move2		20	20	balance2		20	20	stam/lvl	8			stamdrain		50	50	res-pois		40	70	rep-dur	5			str		10	15	vit		10	15														0				
Marrowwalk	370	100	1		1		74	66	umb	boneweave boots		5	5000	dgry							ac%		170	200	move2		20	20	charged	Bone Prison	13	33	charged	Life Tap	10	12	regen-stam		10	10	regen-mana		10	10	half-freeze		1	1	str		10	20	dex		17	17	skill	Skeleton Mastery	1	2										0				
Heaven's Light	371	100	1		1		69	61	7sc	mighty scepter		5	5000	cblu	cblu						dmg%		250	300	swing2		20	20	reduce-ac		33	33	light		3	3	demon-heal		15	20	crush		33	33	sock		1	3	pal		2	3																		0				
Merman's Speed	372	100																																																																				0				
Arachnid Mesh	373	100	1		1		87	80	ulc	spiderweb sash		5	5000	blac	blac						ac%		90	120	cast2		20	20	charged	Venom	11	3	allskills		1	1	slow		10	10	mana%		5	5																										0				
Nosferatu's Coil	374	100	1		1		68	51	uvc	vampirefang belt		5	5000								str		15	15	mana-kill		2	2	slow		10	10	hp%		5	7	swing2		10	10	light		-3	-3																										0				
Metalgrid	375	100	1		2		85	81	amu	amulet		5	5000								ac		300	350	res-all		25	35	att		400	450	charged	IronGolem	11	22	charged	Iron Maiden	20	12																														0				
Verdugo's Hearty Cord	376	100	1		1		71	63	umc	mithril coil		5	5000	blac	blac						ac%		90	140	vit		30	40	stam		100	120	balance2		10	10	red-dmg%		10	15	hp%		10	13																										0				
Sigurd's Staunch	377	100			1							5	5000																																																									0				
Carrion Wind	378	100	1		3		68	60	rin	ring		3	5000								ac-miss		100	160	hp%		6	9	res-pois		55	55	gethit-skill	Poison Nova	10	10	charged	Plague Poppy	15	21	hit-skill	Twister	8	13	dmg-to-mana		10	10																						0				
Giantskull	379	100	1		1		73	65	uh9	bone visage		3	5000	lgry	lgry		invbhm				ac		250	320	str		25	35	crush		10	10	sock		1	2	knock		1	1																														0				
Ironward	380	100	1		1		68	60	7ws	caduceus		3	5000	blac	blac						dmg%		240	290	slow		25	25	att%		150	200	swing2		10	10	dmg-mag		80	240	red-dmg		4	7	dmg		40	85	skilltab	9	2	4	crush		33	33														0				
Annihilus	381	100	1		1		110	70	cm1	charm	1	3	5000			flpmss	invmss	item_gem	12	item_gem	allskills		1	1	all-stats		10	20	res-all		10	20	addxp		5	10																																		0				
Arioc's Needle	382	100	1		1		85	81	7sr	hyperion spear		3	5000								dmg%		180	230	dmg-pois	250	403	403	deadly		50	50	ignore-ac		1	1	allskills		2	4	swing2		30	30																										0				
Cranebeak	383	100	1		1		71	63	7mp	war spike		3	5000	dgry			invmpiu				dmg%		240	300	dmg-ltng		1	305	swing2		40	40	reduce-ac		25	25	mag%		20	50	charged	Raven	15	8																										0				
Nord's Tenderizer	384	100	1		1		76	68	7cl	truncheon		3	5000				invclbu				dmg%		270	330	freeze		2	4	swing2		25	25	charged	Blizzard	12	16	att%		150	180	abs-cold%		5	15	dmg-cold	125	205	455																						0				
Earthshifter	385	100	1		1		77	69	7gm	thunder maul		3	5000								dmg%		250	300	hit-skill	Eruption	25	14	crush		33	33	swing2		10	10	charged	Volcano	30	14	skilltab	17	7	7	cast2		10	10																						0				
Wraithflight	386	100	1		1		84	76	7gl	ghost glaive		3	5000	dblu	dblu						dmg%		150	190	rep-quant	40			hp%		9	13	mana-kill		15	15	ethereal		1	1																														0				
Bonehew	387	100	1		1		72	64	7o7	ogre axe		3	5000	bwht	bwht						dmg%		270	320	swing2		30	30	charged	Corpse Explosion	30	14	hit-skill	Bone Spear	50	16	noheal		1	1	sock		2	2																										0				
Ondal's Wisdom	388	100	1		1		74	66	6cs	elder staff		3	5000				invcstu				cast2		45	45	enr		40	50	allskills		2	4	ac		450	550	addxp		5	5	red-mag		5	8																										0				
The Reedeemer	389	100	1		1		80	72	7sc	mighty scepter		3	5000								dmg%		250	300	dmg-demon		200	250	pal		2	2	ease		-60	-60	skill	Redemption	2	4	skill	Holy Bolt	2	4	light		3	3	reduce-ac		33	33	dmg		60	120														0				
Headhunter's Glory	390	100	1		1		83	75	ush	troll nest		3	5000				invbshu				ac		320	420	ac-miss		300	350	res-pois		30	40	sock		1	3	res-fire		20	30	heal-kill		5	7																										0				
Steelrend	391	100	1		1		78	70	uhg	ogre gauntlets		3	5000								ac		170	210	str		15	20	dmg%		30	60	crush		10	10																																		0				
Rainbow Facet	392	100	1		1		85	49	jew	jewel		3	5000								dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	death-skill	Chain Lightning	100	47																																		0				
Rainbow Facet	393	100	1		1		85	49	jew	jewel		3	5000								dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	death-skill	Blizzard	100	37																																		0				
Rainbow Facet	394	100	1		1		85	49	jew	jewel		3	5000								dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	death-skill	Meteor	100	31																																		0				
Rainbow Facet	395	100	1		1		85	49	jew	jewel		3	5000								dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	death-skill	Poison Nova	100	51																																		0				
Rainbow Facet	396	100	1		1		85	49	jew	jewel		3	5000								dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	levelup-skill	Nova	100	41																																		0				
Rainbow Facet	397	100	1		1		85	49	jew	jewel		3	5000								dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	levelup-skill	Frost Nova	100	43																																		0				
Rainbow Facet	398	100	1		1		85	49	jew	jewel		3	5000								dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	levelup-skill	Blaze	100	29																																		0				
Rainbow Facet	399	100	1		1		85	49	jew	jewel		3	5000								dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	levelup-skill	Venom	100	23																																		0				
Hellfire Torch	400	100	1		1		110	75	cm2	charm	1	3	5000			flptrch	invtrch	item_gem	12	item_gem	randclassskill		0	6	all-stats		10	20	res-all		10	20	light		8	8	hit-skill	197	5	10	charged	Hydra	10	30																										0				
Cold Rupture	401	100		1	1		69	75	cm3	charm		3	5000	lblu	lblu						pierce-immunity-cold		300	300	res-cold		-90	-70																																										0				
Flame Rift	402	100		1	1		69	75	cm3	charm		3	5000	lred	lred						pierce-immunity-fire		300	300	res-fire		-90	-70																																										0				
Crack of the Heavens	403	100		1	1		69	75	cm3	charm		3	5000	lyel	lyel						pierce-immunity-light		300	300	res-ltng		-90	-70																																										0				
Rotting Fissure	404	100		1	1		69	75	cm3	charm		3	5000	lgrn	lgrn						pierce-immunity-poison		300	300	res-pois		-90	-70																																										0				
Bone Break	405	100		1	1		69	75	cm3	charm		3	5000	whit	whit						pierce-immunity-damage		300	300	red-dmg%		-20	-10																																										0				
Black Cleft	406	100		1	1		69	75	cm3	charm		3	5000	lgry	lgry						pierce-immunity-magic		300	300	res-mag		-65	-45																																										0				
jamellasunique407	407	100	1		1		3		hax			5	5000								dru		1	2	enr		3	5	vit		3	5																																						0				
jamellasunique408	408	100	1		1		8		axe			5	5000								allskills		1	1	enr		8	12	freeze		1	1	aura	114	3	3																																		0				
jamellasunique409	409	100	1		1		14		2ax			5	5000								pal		1	2	enr		14	21	res-all-max		10	20																																						0				
jamellasunique410	410	100	1		1		19		mpi			5	5000								dru		1	2	cheap		10	20	mag%		44	88	ease		-19	-19	regen-mana		9	38	move1		15	44																										0				
jamellasunique411	411	100	1		1		27		wax			5	5000								allskills		1	1	heal-kill		11	19	res-ltng		27	42	mana-kill		11	19	oskill	276	6	27	cheap		10	20																										0				
jamellasunique412	412	100	1		1		6		lax			5	5000								allskills		1	1	res-all		12	18	hp		12	18	gold%		62	118	ease		-6	-6																														0				
jamellasunique413	413	100	1		1		13		bax			5	5000								bar		1	2	dmg%		115	230	all-stats		8	12	dmg-norm		65	130	dmg-ac		50	180	demon-heal		8	12	dmg-undead		239	565																						0				
jamellasunique414	414	100	1		1		19		btx			5	5000								sor		1	2	mana-kill		9	15	res-all-max		10	20	enr		19	29	regen		9	38																														0				
jamellasunique415	415	100	1		1		25		gax			5	5000								sor		1	2	addxp		10	20	hp		50	75	cheap		10	20	regen		12	50	heal-kill		11	18																										0				
jamellasunique416	416	100	1		1		24		gix			5	5000								ass		1	2	mag%		49	98	res-all-max		10	20	all-stats		11	17	mana		48	72	abs-cold%		25	50	hp		48	72																						0				
jamellasunique417	417	100	1		1		2		wnd			5	5000								allskills		1	1	gold%		54	106	res-all		4	7																																						0				
jamellasunique418	418	100	1		1		10		ywn			5	5000								allskills		1	1	regen-mana		5	20	hp		20	30	mana-kill		7	10	cheap		10	20	addxp		10	20																										0				
jamellasunique419	419	100	1		1		18		bwn			5	5000								sor		1	2	hp%		9	18	res-all-max		10	20	cheap		10	20																																		0				
jamellasunique420	420	100	1		1		25		gwn			5	5000								sor		1	2	mana%		12	25	enr		25	38	vit		25	38	extra-ltng		50	75	res-all-max		10	20	cast1		10	25	cheap		10	20																		0				
jamellasunique421	421	100	1		1		1		clb			5	5000								ass		1	2	move1		15	26	dmg-pois	75	5	10																																						0				
jamellasunique422	422	100	1		1		3		scp			5	5000								pal		1	2	hp%		1	3	crush		25	25																																						0				
jamellasunique423	423	100	1		1		17		gsc			5	5000								allskills		1	1	ease		-17	-17	regen-mana		8	34	cast1		10	25	mana		34	51	res-all-max		10	20																										0				
jamellasunique424	424	100	1		1		23		wsp			5	5000								allskills		1	1	res-pois		26	40	addxp		10	20	ease		-23	-23																																		0				
jamellasunique425	425	100	1		1		4		spc			5	5000								dru		1	2	enr		4	6	mana		8	12																																						0				
jamellasunique426	426	100	1		1		8		mac			5	5000								ass		1	2	all-stats		7	9	hp%		4	8	dex		8	12																																		0				
jamellasunique427	427	100	1		1		15		mst			5	5000								ass		1	2	res-cold		22	34	dmg-cold	150	75	150	freeze		1	1	addxp		10	20	aura	114	3	5	mag%		40	80																						0				
jamellasunique428	428	100	1		1		18		fla			5	5000								allskills		1	1	str		18	27	crush		25	25	reduce-ac		50	75	dmg%		140	280																														0				
jamellasunique429	429	100	1		1		23		whm			5	5000								allskills		1	1	cheap		10	20	res-cold		26	40	all-stats		10	17	mana-kill		10	17	ease		-23	-23	gold%		96	169	regen-mana		11	46	demon-heal		10	17														0				
jamellasunique430	430	100	1		1		25		mau			5	5000								bar		1	2	dmg%		175	350	addxp		10	20	levelreq		1	1																																		0				
jamellasunique431	431	100	1		1		37		gma			5	5000								pal		1	3	dmg%		235	470	ease		-37	-37	res-all-max		10	20	demon-heal		14	24																														0				
jamellasunique432	432	100	1		1		1		ssd			5	5000								pal		1	2	res-all-max		10	20	hp		2	3																																						0				
jamellasunique433	433	100	1		1		5		scm			5	5000								pal		1	2	gold%		60	115	heal-kill		6	8																																						0				
jamellasunique434	434	100	1		1		9		sbr			5	5000								pal		1	2	move1		15	34	noheal		1	1																																						0				
jamellasunique435	435	100	1		1		11		flc			5	5000								allskills		1	1	ease		-11	-11	all-stats		7	11	regen		5	22	heal-kill		7	11																														0				
jamellasunique436	436	100	1		1		13		crs			5	5000								allskills		1	1	dmg%		115	230	noheal		1	1																																						0				
jamellasunique437	437	100	1		1		15		bsd			5	5000								bar		1	2	dmg%		125	250	cheap		10	20	vit		15	23	res-all-max		10	20	aura	108	3	5																										0				
jamellasunique438	438	100	1		1		20		lsd			5	5000								allskills		1	1	ease		-20	-20	hp		40	60	res-cold		24	38	vit		20	30	heal-kill		10	15	gold%		90	160	mana-kill		10	15																		0				
jamellasunique439	439	100	1		1		29		wsd			5	5000								allskills		1	1	mana		58	87	res-all		24	34	dmg-ltng		145	290	res-all-max		10	20	vit		29	44	mana%		14	29	mana-kill		12	20	demon-heal		12	20														0				
jamellasunique440	440	100	1		1		10		2hs			5	5000								dmg%		100	200	pal		1	2	mag%		35	70	regen		5	20	heal-kill		7	10																														0				
jamellasunique441	441	100	1		1		18		clm			5	5000								pal		1	2	dmg%		140	280	demon-heal		9	14	str		18	27	att%		118	254	deadly		35	70	openwounds		35	70																						0				
jamellasunique442	442	100	1		1		20		gis			5	5000								pal		1	2	abs-cold%		25	50	extra-cold		40	60	mana		40	60	res-cold		24	38																														0				
jamellasunique443	443	100	1		1		26		bsw			5	5000								dru		1	3	addxp		10	20	cheap		10	20	cast1		10	25	res-pois-max		10	20	hp		52	78																										0				
jamellasunique444	444	100	1		1		25		flb			5	5000								ass		1	2	dmg%		175	350	cheap		10	20	all-stats		11	18																																		0				
jamellasunique445	445	100	1		1		40		gsd			5	5000								dru		1	3	cheap		10	20	ease		-40	-40	addxp		10	20	gold%		130	220	vit		40	60	mana		80	120	aura	102	3	14	demon-heal		15	25	regen-mana		20	80										0				
jamellasunique446	446	100	1		1		3		dgr			5	5000								dru		1	2	res-pois-max		10	20	move1		15	28																																						0				
jamellasunique447	447	100	1		1		9		dir			5	5000								allskills		1	1	mag%		34	68	mana-kill		7	10	vit		9	14	heal-kill		7	10	regen-mana		4	18																										0				
jamellasunique448	448	100	1		1		18		kri			5	5000								dru		1	2	res-all		20	29	res-all-max		10	20	mana		36	54	extra-cold		36	54																														0				
jamellasunique449	449	100	1		1		26		bld			5	5000								allskills		1	1	res-all-max		10	20	res-all		23	33	mana		52	78	dmg-cold	150	130	260	move1		15	51	all-stats		11	18	enr		26	39	vit		26	39														0				
jamellasunique450	450	100	1		1		2		tkf			5	5000								allskills		1	1	mana		4	6	res-fire		5	9																																						0				
jamellasunique451	451	100	1		1		6		tax			5	5000								allskills		1	1	cast1		10	25	move1		15	31	regen		3	12																																		0				
jamellasunique452	452	100	1		1		15		bkf			5	5000								allskills		1	1	dmg%		125	250	dmg-ac		50	200	move1		15	40	demon-heal		8	13	aura	108	3	5	openwounds		35	70																						0				
jamellasunique453	453	100	1		1		16		bal			5	5000								allskills		1	1	dmg%		130	260	thorns		16	32	pierce		100	100	hp		32	48	str		16	24	att%		116	248	openwounds		35	70																		0				
jamellasunique454	454	100	1		1		1		jav			5	5000								ass		1	2	cheap		10	20	heal-kill		5	6																																						0				
jamellasunique455	455	100	1		1		9		pil			5	5000								ama		1	2	openwounds		35	70	addxp		10	20	att-undead		109	227	balance1		35	35																														0				
jamellasunique456	456	100	1		1		13		ssp			5	5000								ass		1	2	mana-kill		8	12	ease		-13	-13	abs-cold%		25	50	heal-kill		8	12	regen		6	26																										0				
