index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Zakarum's Salvation	303	100			1							5	5000																																																									0
Fleshripper	304	100	1		1		76		7kr	fanged knife		5	5000	dred	dred		invkrsu				dmg%		200	300	reduce-ac		50	50	noheal		1	1	crush		25	25	openwounds		50	50	deadly		33	33	slow		20	20																						0
Odium	305	100			1							5	5000	blac																																																								0
Horizon's Tornado	306	100	1		5		72		7fl	scourge		5	5000	dpur	dpur						dmg%		230	280	swing2		50	50	slow		20	20	hit-skill	Tornado	20	15	ease		-20	-20																														0
Stone Crusher	307	100	1		4		76		7wh	legendary mallet		5	5000	whit							dmg%		280	320	str		20	30	crush		40	40	reduce-ac		25	25	dmg-ac		-100	-100	dmg		10	30																										0
Jadetalon	308	100	1		1		74		7wb	wrist sword		5	5000	cgrn	cgrn						dmg%		190	240	regen-mana		10	15	res-all		40	50	balance2		30	30	skilltab	19	1	2	skilltab	20	1	2																										0
Shadowdancer	309	100	1		1		79		uhb	myrmidon greaves		5	5000	blac	blac						ac%		70	100	move2		30	30	balance2		30	30	dex		15	25	skilltab	19	1	2	ease		-20	-20																										0
Cerebus	310	100	1		1		71		drb	blood spirit		5	5000	bwht	bwht						ac%		130	140	skilltab	16	2	4	hp%		7	10	att%		60	120	openwounds		33	33	skill	feral rage	1	2																										0
Tyrael's Might	311	100	1		1		87		uar	sacred armor		5	5000	dblu	dblu		invaaru				ease		-100	-100	indestruct		1	1	ac%		120	150	rip		1	1	dmg-demon		50	100	nofreeze		1	1	move2		20	20	res-all		20	30	str		20	30														0
Souldrain	312	100	1		1		82		umg	vambraces		5	5000	dred	dred						ac%		90	120	regen-mana		4	7	hp%		4	7	hit-skill	Weaken	8	3	dmg-ac		-50	-50																														0
Runemaster	313	100	1		1		80		72a	ettin axe		5	5000	lblu	lblu						dmg%		220	270	sock		3	5	res-cold-max		5	5	nofreeze		1	1																																		0
Deathcleaver	314	100	1		1		78		7wa	berserker axe		5	5000	dred							dmg%		230	280	deadly		66	66	reduce-ac		33	33	swing2		40	40	heal-kill		6	9																														0
Executioner's Justice	315	100	1		1		83		7gi	glorious axe		5	5000	blac	blac						dmg%		240	290	crush		25	25	reduce-ac		33	33	kill-skill	Decrepify	50	6	swing2		30	30																														0
Stoneraven	316	100	1		1		72		amd	matriarchal spear		5	5000	dgry							dmg%		230	280	dmg-mag		101	187	res-all		30	50	ac		400	600	skilltab	2	1	3																														0
Leviathan	317	100	1		1		73		uld	kraken shell		5	5000	cgrn	cgrn						ac%		170	200	ac		100	150	red-dmg%		15	25	str		40	50	indestruct		1	1																														0
Larzuk's Champion	318	100			1							5	5000	lgry		flphmr	invhfh																																																					0
Wisp	319	100	1		1		84		rin	ring		5	5000	bwht	bwht						abs-ltng%		10	20	hit-skill	Lightning	10	16	mag%		10	20	charged	Oak Sage	15	2	charged	Heart of Wolverine	13	5	charged	Spirit of Barbs	11	7																										0
Gargoyle's Bite	320	100	1		1		78		7ts	winged harpoon		5	5000	cgrn	cgrn						dmg%		180	230	rep-quant	30			dmg-pois	250	300	300	hp%		9	15	charged	Plague Javelin	60	11																														0
Lacerator	321	100	1		1		76		7b8	winged axe		5	5000	blac	blac						dmg%		150	210	rep-quant	25			swing2		30	30	noheal		1	1	openwounds		33	33	howl		64	64	hit-skill	Amplify Damage	33	3																						0
Mang Song's Lesson	322	100	1		1		86		6ws	archon staff		5	5000	dgld	dgld		inv8wsu				allskills		5	5	pierce-fire		7	15	pierce-ltng		7	15	pierce-cold		7	15	regen-mana		10	10	cast2		30	30																										0
Viperfork	323	100	1		1		79		7br	war fork		5	5000	dgrn	dgrn						dmg%		190	240	dmg-pois	250	333	333	swing2		50	50	att		200	250	hit-skill	Poison Explosion	15	9	res-pois		30	50																										0
Ethereal Edge	324	100	1		1		82		7ba	silver-edged axe		5	5000	whit	whit						dmg%		150	180	swing2		25	25	abs-fire		10	12	dmg-demon		150	200	demon-heal		5	10	att		270	350	ethereal		1	1	indestruct		1	1																		0
Demonhorn's Edge	325	100	1		1		69		bad	destroyer helm		5	5000	dgry	dgry						ac%		120	160	swing2		10	10	hp%		3	6	thorns		55	77	skilltab	12	1	3	skilltab	13	1	3	skilltab	14	1	3																						0
The Reaper's Toll	326	100	1		1		83		7s8	thresher		5	5000				invscy				dmg%		190	240	hit-skill	Decrepify	33	1	ignore-ac		1	1	hp%		11	15	ease		-25	-25	deadly		33	33	dmg-cold		4	44																						0
Spiritkeeper	327	100	1		1		75		drd	earth spirit		5	5000								ac%		170	190	balance2		20	20	abs-ltng		9	14	res-fire		30	40	abs-cold%		15	25	res-pois-max		10	10	dru		1	2																						0
Hellrack	328	100	1		1		84		6hx	colossus crossbow		5	5000	cred			invhxbu				dmg%		180	230	dmg-elem	33	63	324	swing2		20	20	att%		100	150	sock		2	2	charged	Immolation Arrow	150	18																										0
Alma Negra	329	100	1		1		85		pac	sacred rondache		5	5000	blac	blac						ac%		180	210	block2		30	30	pal		1	2	block		20	20	red-mag		5	9	att%		40	75	dmg%		40	75																						0
Darkforge Spawn	330	100	1		1		72		nef	bloodlord skull		5	5000	cred	cred						ac%		140	180	cast2		30	30	mana%		10	10	skilltab	6	1	3	skilltab	7	1	3	skilltab	8	1	3																										0
Widowmaker	331	100	1		1		73		6sw	ward bow		5	5000	dred	dred		invswbu				dmg%		150	200	deadly		33	33	ignore-ac		1	1	magicarrow		11	11	oskill	Guided Arrow	3	5																														0
Bloodraven's Charge	332	100	1		1		79		amb	matriarchal bow		5	5000	dgld	dgld		invswbu				dmg%		180	230	att%		200	300	explosivearrow		13	13	skilltab	0	2	4	charged	Revive	30	5																														0
Ghostflame	333	100	1		1		70		7bl	legend spike		5	5000	cblu	cblu						dmg%		190	240	ignore-ac		1	1	dmg-mag		108	108	regen-mana		10	15	ethereal		1	1	indestruct		1	1	light		2	2																						0
Shadowkiller	334	100	1		1		85		7cs	battle cestus		5	5000				invaxfu				dmg%		170	220	reduce-ac		25	25	freeze		2	2	mana-kill		10	15	hit-skill	Frost Nova	33	8	ethereal		1	1	indestruct		1	1																						0
Gimmershred	335	100	1		1		78		7ta	flying axe		5	5000	lgrn							dmg%		160	210	dmg-fire		218	483	dmg-cold	100	176	397	dmg-ltng		29	501	stack		60	60	swing2		30	30																										0
Griffon's Eye	336	100	1		1		84		ci3	diadem		5	5000								ac		100	200	cast2		25	25	allskills		1	1	extra-ltng		10	15	pierce-ltng		15	20																														0
Windhammer	337	100	1		1		76		7m7	ogre maul		5	5000	cblu	cblu		invmau				dmg%		180	230	crush		50	50	swing2		60	60	hit-skill	Twister	33	22																																		0
Thunderstroke	338	100	1		1		77		amf	matriarchal javelin		5	5000	dblu	dblu						dmg%		150	200	dmg-ltng		1	511	hit-skill	Lightning	20	14	swing2		15	15	pierce-ltng		15	15	skill	Lightning Bolt	3	3	skilltab	2	2	4																						0
Giantmaimer	339	100			1							5	5000	cred	cred																																																							0
Demon's Arch	340	100	1		1		76		7s7	balrog spear		5	5000	cred	cred						dmg%		160	210	dmg-fire		232	323	hp%		6	12	rep-quant	30			swing2		30	30	dmg-ltng		23	333																										0
Boneflame	341	100	1		1		80		nee	succubae skull		3	5000	dred	dred						ac%		120	150	move2		20	20	gethit-skill	Terror	15	3	nec		2	3	res-all		20	30																														0
Steelpillar	342	100	1		1		77		7p7	war pike		3	5000								dmg%		210	260	swing2		25	25	reduce-ac		20	20	ac%		50	80	indestruct		1	1	crush		25	25																										0
Nightwing's Veil	343	100	1		1		75		uhm	spired helm		3	5000	cblu	cblu						ac%		90	120	allskills		2	2	dex		10	20	abs-cold		5	9	half-freeze		1	1	extra-cold		8	15	ease		-50	-50																						0
Crown of Ages	344	100	1		1		86		urn	corona		3	5000	dgld	dgld						balance2		30	30	res-all		20	30	allskills		1	1	ac		100	150	indestruct		1	1	red-dmg%		10	15	ac%		50	50	sock		1	2																		0
Andariel's Visage	345	100	1		1		85		usk	demonhead		3	5000	dred	dred						ac%		100	150	res-pois		70	70	allskills		2	2	res-pois-max		10	10	swing2		20	20	str		25	30	gethit-skill	92	15	15	charged	278	20	3	hp%		8	10	res-fire		-30	-30										0
Darkfear	346	100			1				ulm	armet		5	5000	blac			invhlmu																																																					0
Dragonscale	347	100	1		1		84		pae	zakarum shield		3	5000	dgrn	dgrn						ac%		170	200	abs-fire%		10	20	res-fire-max		5	5	str		15	25	dmg-fire		211	371	oskill	Hydra	10	10	extra-fire		15	15																						0
Steel Carapice	348	100	1		1		74		uul	shadow plate		3	5000	dgry	dgry						ac%		190	220	balance2		20	20	red-dmg		9	14	res-cold		40	60	regen-mana		10	15	rep-dur	5			gethit-skill	Iron Maiden	8	6																						0
Medusa's Gaze	349	100	1		1		84		uow	aegis		3	5000	lred	lred		invtowu				ac%		150	180	slow		20	20	gethit-skill	Lower Resist	10	7	hp%		5	9	death-skill	Nova	100	44	res-cold		40	80																										0
Ravenlore	350	100	1		1		82		dre	sky spirit		3	5000	dgld	dgld						ac%		120	150	res-all		15	25	skilltab	17	3	3	enr		20	30	pierce-fire		10	20	skill	Raven	7	7																										0
Boneshade	351	100	1		1		84		7bw	lich wand		3	5000	dgry	dgry		invbwnu				nec		2	2	cast2		25	25	skill	Teeth	4	5	skill	Bone Armor	4	5	skill	Bone Spear	2	3	skill	Bone Spirit	1	2	skill	Bone Wall	2	3																						0
Nethercrow	352	100			1							3	5000	cblu	cblu																																																							0
Flamebellow	353	100	1		1		79		7gs	balrog blade		3	5000	cred	cred		invgisu				dmg%		170	240	dmg-fire		233	482	fireskill		3	3	abs-fire%		20	30	hit-skill	Firestorm	12	16	str		10	20	vit		5	10	oskill	Inferno	12	18																		0
Fathom	354	100	1		1		81		obf	dimensional shard		3	5000	lblu							sor		3	3	extra-cold		15	30	cast2		20	20	res-fire		25	40	res-ltng		25	40																														0
Wolfhowl	355	100	1		1		85		bac	fury visor		3	5000	cred	cred						ac%		120	150	skilltab	14	2	3	str		8	15	dex		8	15	vit		8	15	oskill	Wearwolf	3	6	charged	Summon Fenris	18	15	oskill	Shape Shifting	3	6	oskill	Feral Rage	3	6														0
Spirit Ward	356	100	1		1		76		uts	ward		3	5000	dblu	dblu		invgtsu				ac%		130	180	abs-cold		6	11	res-all		30	40	block		20	30	block2		25	25	gethit-skill	Fade	5	8																										0
Kira's Guardian	357	100	1		1		85		ci2	tiara		3	5000	blac	blac						ac		50	120	res-all		50	70	nofreeze		1	1	balance2		20	20																																		0
Ormus' Robes	358	100	1		1		83		uui	dusk shroud		3	5000	blac	blac						ac		10	20	cast2		20	20	extra-fire		10	15	extra-cold		10	15	extra-ltng		10	15	regen-mana		10	15	skill-rand	3	36	60																						0
Gheed's Fortune	359	100	1		1		70		cm3	charm	1	3	5000	lgld							mag%		20	40	gold%		80	160	cheap		10	15																																						0
Stormlash	360	100	1		1		86		7fl	scourge		3	5000	dgry	dgry						dmg%		240	300	swing2		30	30	hit-skill	Static Field	15	10	hit-skill	Tornado	20	18	dmg-ltng		1	473	light-thorns		30	30	crush		33	33	abs-ltng		3	9																		0
Halaberd's Reign	361	100	1		1		85		bae	conqueror crown		3	5000								ac%		140	170	skilltab	13	1	1	bar		2	2	balance2		20	20	hp%		15	23	skill	Battle Orders	1	2	skill	Battle Command	1	2																						0
Warriv's Warder	362	100			1							3	5000																																																									0
Spike Thorn	363	100	1		1		78		upk	blade barrier		5	5000	dyel	dyel		invspku				ac%		120	150	thorns/lvl	11			dur		250	250	balance2		30	30	red-dmg%		15	20	sock		1	1																										0
Dracul's Grasp	364	100	1		1		84		uvg	vampirebone gloves		5	5000	dred	dred						ac%		90	120	hp%		7	10	openwounds		25	25	hit-skill	Life Tap	5	10	heal-kill		5	10	str		10	15																										0
Frostwind	365	100	1		1		78		7ls	cryptic sword		5	5000	cblu	cblu		invlsdu				dmg%		180	230	freeze		4	4	half-freeze		1	1	dmg-cold	150	237	486	swing2		25	25	abs-cold%		7	15	oskill	Arctic Blast	7	14																						0
Templar's Might	366	100	1		8		82		uar	sacred armor		5	5000	cgrn	cgrn		invaaru				ac%		170	220	balance2		20	20	ac-miss		250	300	stam		40	50	str		10	15	vit		10	15	skilltab	10	1	2																						0
Eschuta's temper	367	100	1		1		80		obc	eldritch orb		5	5000	cred							sor		1	3	cast2		40	40	extra-fire		10	20	extra-ltng		10	20	enr		20	30																														0
Firelizard's Talons	368	100	1		1		75		7lw	feral claws		5	5000								dmg%		200	270	swing2		15	15	skilltab	20	1	3	dmg-fire		236	480	res-fire		40	70	skill	Wake of Fire Sentry	1	2	skill	Inferno Sentry	1	2																						0
Sandstorm Trek	369	100	1		1		72		uvb	scarabshell boots		5	5000								ac%		140	170	move2		20	20	balance2		20	20	stam/lvl	8			stamdrain		50	50	res-pois		40	70	rep-dur	5			str		10	15	vit		10	15														0
Marrowwalk	370	100	1		1		74		umb	boneweave boots		5	5000	dgry							ac%		170	200	move2		20	20	charged	Bone Prison	13	33	charged	Life Tap	10	12	regen-stam		10	10	regen-mana		10	10	half-freeze		1	1	str		10	20	dex		17	17	skill	Skeleton Mastery	1	2										0
Heaven's Light	371	100	1		1		69		7sc	mighty scepter		5	5000	cblu	cblu						dmg%		250	300	swing2		20	20	reduce-ac		33	33	light		3	3	demon-heal		15	20	crush		33	33	sock		1	3	pal		2	3																		0
Merman's Speed	372	100																																																																				0
Arachnid Mesh	373	100	1		1		87		ulc	spiderweb sash		5	5000	blac	blac						ac%		90	120	cast2		20	20	charged	Venom	11	3	allskills		1	1	slow		10	10	mana%		5	5																										0
Nosferatu's Coil	374	100	1		1		68		uvc	vampirefang belt		5	5000								str		15	15	mana-kill		2	2	slow		10	10	hp%		5	7	swing2		10	10	light		-3	-3																										0
Metalgrid	375	100	1		2		85		amu	amulet		5	5000								ac		300	350	res-all		25	35	att		400	450	charged	IronGolem	11	22	charged	Iron Maiden	20	12																														0
Verdugo's Hearty Cord	376	100	1		1		71		umc	mithril coil		5	5000	blac	blac						ac%		90	140	vit		30	40	stam		100	120	balance2		10	10	red-dmg%		10	15	hp%		10	13																										0
Sigurd's Staunch	377	100			1							5	5000																																																									0
Carrion Wind	378	100	1		3		68		rin	ring		3	5000								ac-miss		100	160	hp%		6	9	res-pois		55	55	gethit-skill	Poison Nova	10	10	charged	Plague Poppy	15	21	hit-skill	Twister	8	13	dmg-to-mana		10	10																						0
Giantskull	379	100	1		1		73		uh9	bone visage		3	5000	lgry	lgry		invbhm				ac		250	320	str		25	35	crush		10	10	sock		1	2	knock		1	1																														0
Ironward	380	100	1		1		68		7ws	caduceus		3	5000	blac	blac						dmg%		240	290	slow		25	25	att%		150	200	swing2		10	10	dmg-mag		80	240	red-dmg		4	7	dmg		40	85	skilltab	9	2	4	crush		33	33														0
Annihilus	381	100	1		1		110		cm1	charm	1	3	5000			flpmss	invmss	item_gem	12	item_gem	allskills		1	1	all-stats		10	20	res-all		10	20	addxp		5	10																																		0
Arioc's Needle	382	100	1		1		85		7sr	hyperion spear		3	5000								dmg%		180	230	dmg-pois	250	403	403	deadly		50	50	ignore-ac		1	1	allskills		2	4	swing2		30	30																										0
Cranebeak	383	100	1		1		71		7mp	war spike		3	5000	dgry			invmpiu				dmg%		240	300	dmg-ltng		1	305	swing2		40	40	reduce-ac		25	25	mag%		20	50	charged	Raven	15	8																										0
Nord's Tenderizer	384	100	1		1		76		7cl	truncheon		3	5000				invclbu				dmg%		270	330	freeze		2	4	swing2		25	25	charged	Blizzard	12	16	att%		150	180	abs-cold%		5	15	dmg-cold	125	205	455																						0
Earthshifter	385	100	1		1		77		7gm	thunder maul		3	5000								dmg%		250	300	hit-skill	Eruption	25	14	crush		33	33	swing2		10	10	charged	Volcano	30	14	skilltab	17	7	7	cast2		10	10																						0
Wraithflight	386	100	1		1		84		7gl	ghost glaive		3	5000	dblu	dblu						dmg%		150	190	rep-quant	40			hp%		9	13	mana-kill		15	15	ethereal		1	1																														0
Bonehew	387	100	1		1		72		7o7	ogre axe		3	5000	bwht	bwht						dmg%		270	320	swing2		30	30	charged	Corpse Explosion	30	14	hit-skill	Bone Spear	50	16	noheal		1	1	sock		2	2																										0
Ondal's Wisdom	388	100	1		1		74		6cs	elder staff		3	5000				invcstu				cast2		45	45	enr		40	50	allskills		2	4	ac		450	550	addxp		5	5	red-mag		5	8																										0
The Reedeemer	389	100	1		1		80		7sc	mighty scepter		3	5000								dmg%		250	300	dmg-demon		200	250	pal		2	2	ease		-60	-60	skill	Redemption	2	4	skill	Holy Bolt	2	4	light		3	3	reduce-ac		33	33	dmg		60	120														0
Headhunter's Glory	390	100	1		1		83		ush	troll nest		3	5000				invbshu				ac		320	420	ac-miss		300	350	res-pois		30	40	sock		1	3	res-fire		20	30	heal-kill		5	7																										0
Steelrend	391	100	1		1		78		uhg	ogre gauntlets		3	5000								ac		170	210	str		15	20	dmg%		30	60	crush		10	10																																		0
Rainbow Facet	392	100	1		1		85		jew	jewel		3	5000								dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	death-skill	Chain Lightning	100	47																																		0
Rainbow Facet	393	100	1		1		85		jew	jewel		3	5000								dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	death-skill	Blizzard	100	37																																		0
Rainbow Facet	394	100	1		1		85		jew	jewel		3	5000								dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	death-skill	Meteor	100	31																																		0
Rainbow Facet	395	100	1		1		85		jew	jewel		3	5000								dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	death-skill	Poison Nova	100	51																																		0
Rainbow Facet	396	100	1		1		85		jew	jewel		3	5000								dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	levelup-skill	Nova	100	41																																		0
Rainbow Facet	397	100	1		1		85		jew	jewel		3	5000								dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	levelup-skill	Frost Nova	100	43																																		0
Rainbow Facet	398	100	1		1		85		jew	jewel		3	5000								dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	levelup-skill	Blaze	100	29																																		0
Rainbow Facet	399	100	1		1		85		jew	jewel		3	5000								dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	levelup-skill	Venom	100	23																																		0
Hellfire Torch	400	100	1		1		110		cm2	charm	1	3	5000			flptrch	invtrch	item_gem	12	item_gem	randclassskill		0	6	all-stats		10	20	res-all		10	20	light		8	8	hit-skill	197	5	10	charged	Hydra	10	30																										0
Cold Rupture	401	100		1	1		69		cm3	charm		3	5000	lblu	lblu						pierce-immunity-cold		300	300	res-cold		-90	-70																																										0
Flame Rift	402	100		1	1		69		cm3	charm		3	5000	lred	lred						pierce-immunity-fire		300	300	res-fire		-90	-70																																										0
Crack of the Heavens	403	100		1	1		69		cm3	charm		3	5000	lyel	lyel						pierce-immunity-light		300	300	res-ltng		-90	-70																																										0
Rotting Fissure	404	100		1	1		69		cm3	charm		3	5000	lgrn	lgrn						pierce-immunity-poison		300	300	res-pois		-90	-70																																										0
Bone Break	405	100		1	1		69		cm3	charm		3	5000	whit	whit						pierce-immunity-damage		300	300	red-dmg%		-20	-10																																										0
Black Cleft	406	100		1	1		69		cm3	charm		3	5000	lgry	lgry						pierce-immunity-magic		300	300	res-mag		-65	-45																																										0
jamellasunique407	407	100	1		1		2		hax			5	5000								allskills		1	1	manasteal		4	8	slow		25	40																																						0
jamellasunique408	408	100	1		1		6		axe			5	5000								crush		25	25	lifesteal		4	8	str		6	9																																						0
jamellasunique409	409	100	1		1		13		2ax			5	5000								ama		1	2	enr		13	20	vit		13	20	hp%		6	13	aura	114	3	5	mana%		6	13	mag%		38	76																						0
jamellasunique410	410	100	1		1		20		mpi			5	5000								aura	118	3	7	all-stats		10	15	ease		100	100	addxp		10	20																																		0
jamellasunique411	411	100	1		1		22		wax			5	5000								vit		22	33	dmg-ltng		110	220	abs-ltng		5	11	cast1		15	25																																		0
jamellasunique412	412	100	1		1		5		lax			5	5000								str		5	8	aura	 108	3	3	dmg-norm		25	50																																						0
jamellasunique413	413	100	1		1		12		bax			5	5000								nec		1	2	mana%		6	12	res-fire-max		10	20	res-fire		20	32	demon-heal		8	11	heal-kill		8	11																										0
jamellasunique414	414	100	1		1		18		btx			5	5000								ama		1	2	move1		25	43	abs-cold%		25	50	res-cold		24	37	extra-cold		68	136	dmg-cold	150	90	180	res-cold-max		10	20	mana		36	54																		0
jamellasunique415	415	100	1		1		25		gax			5	5000								enr		25	38	sor		1	2	aura	102	3	9	res-fire		26	41	ease		100	100	mana-kill		11	18																										0
jamellasunique416	416	100	1		1		24		gix			5	5000								oskill	249	6	24	sor		1	2	mana%		12	24	aura	102	3	8	vit		24	36	enr		24	36	abs-fire%		25	50	regen		30	30	regen-mana		50	50														0
jamellasunique417	417	100	1		1		1		wnd			5	5000								hp%		0	1	res-pois		0	0	res-all-max		10	20																																						0
jamellasunique418	418	100	1		1		11		ywn			5	5000								hp%		5	11	pal		1	2	enr		11	17	res-pois-max		10	20																																		0
jamellasunique419	419	100	1		1		18		bwn			5	5000								ama		1	2	oskill	81	6	18	mana%		9	18	enr		18	27	hp%		9	18																														0
jamellasunique420	420	100	1		1		28		gwn			5	5000								vit		28	42	res-fire		27	42	hp		56	84	addxp		10	20	aura	102	3	10																														0
jamellasunique421	421	100	1		1		1		clb			5	5000								vit		1	2	move1		25	26	dmg-fire		5	10																																						0
jamellasunique422	422	100	1		1		2		scp			5	5000								lifesteal		4	8	dmg-demon		206	510	thorns		2	22																																						0
jamellasunique423	423	100	1		1		14		gsc			5	5000								aura	114	3	5	mana%		7	14	hp%		7	14																																						0
jamellasunique424	424	100	1		1		19		wsp			5	5000								nec		1	2	res-all		21	30	dmg-ltng		95	190	res-ltng-max		10	20																																		0
jamellasunique425	425	100	1		1		4		spc			5	5000								ama		1	2	extra-fire		54	108	res-all		9	14	mana-kill		6	7																																		0
jamellasunique426	426	100	1		1		9		mac			5	5000								mana%		4	9	hp%		4	9	aura	102	3	3	dru		1	2	enr		9	14	vit		9	14																										0
jamellasunique427	427	100	1		1		13		mst			5	5000								pal		1	2	hp		26	39	demon-heal		8	12	cheap		10	20	enr		13	20																														0
jamellasunique428	428	100	1		1		22		fla			5	5000								mana%		11	22	sor		1	2	abs-cold		5	11	dmg-cold	150	110	220	cast1		15	25	res-cold-max		10	20																										0
jamellasunique429	429	100	1		1		23		whm			5	5000								allskills		1	1	hp		46	69	dmg-pois	75	115	230	extra-pois		73	146	res-all		22	32	cast1		15	25	res-pois-max		10	20	all-stats		10	17																		0
jamellasunique430	430	100	1		1		20		mau			5	5000								ama		1	2	oskill	81	6	20	res-all		21	30	all-stats		10	15	extra-cold		70	140	abs-cold		5	10	res-cold-max		10	20																						0
jamellasunique431	431	100	1		1		35		gma			5	5000								ass		1	3	oskill	121	6	35	fireskill		1	3	gold%		120	205	cheap		10	20																														0
jamellasunique432	432	100	1		1		1		ssd			5	5000								enr		1	2	hp%		0	1	bar		1	2																																						0
jamellasunique433	433	100	1		1		5		scm			5	5000								ass		1	2	aura	114	3	3	hp		10	15																																						0
jamellasunique434	434	100	1		1		9		sbr			5	5000								hp%		4	9	bar		1	2	extra-pois		59	118	hp		18	27																																		0
jamellasunique435	435	100	1		1		11		flc			5	5000								allskills		1	1	dmg-fire		55	110	regen-mana		50	50	mag%		36	72	gold%		72	133																														0
jamellasunique436	436	100	1		1		10		crs			5	5000								nec		1	2	res-all		16	24	dmg-pois	75	50	100	hp		20	30	res-pois-max		10	20	res-pois		19	29																										0
jamellasunique437	437	100	1		1		17		bsd			5	5000								vit		17	26	dmg-undead		251	585	deadly		35	70	heal-kill		9	14																																		0
jamellasunique438	438	100	1		1		24		lsd			5	5000								hp%		12	24	bar		1	2	aura	114	3	8	oskill	58	6	24																																		0
jamellasunique439	439	100	1		1		24		wsd			5	5000								ass		1	2	move1		25	49	res-pois-max		10	20	mag%		49	98	mana%		12	24	hp		48	72	cast1		15	25																						0
jamellasunique440	440	100	1		1		9		2hs			5	5000								allskills		1	1	enr		9	14	hp%		4	9	cast1		15	25	mag%		34	68																														0
jamellasunique441	441	100	1		1		16		clm			5	5000								nec		1	2	abs-ltng%		25	50	demon-heal		9	13	heal-kill		9	13	mana-kill		9	13	aura	118	3	6																										0
jamellasunique442	442	100	1		1		21		gis			5	5000								hp%		10	21	res-ltng-max		10	20	extra-ltng		71	142	cheap		10	20	regen-mana		50	50	mag%		46	92	gold%		92	163	ama		1	2	aura	118	3	7														0
jamellasunique443	443	100	1		1		29		bsw			5	5000								hp%		14	29	dmg-fire		145	290	hp		58	87	mana-kill		12	20	demon-heal		12	20	nec		1	3																										0
jamellasunique444	444	100	1		1		30		flb			5	5000								dex		30	45	manasteal		4	8	ignore-ac		1	1	demon-heal		12	20	att		175	325																														0
jamellasunique445	445	100	1		1		40		gsd			5	5000								hp%		20	40	dmg-fire		200	400	res-all-max		10	20	abs-fire		5	20	ease		100	100																														0
jamellasunique446	446	100	1		1		3		dgr			5	5000								nec		1	2	res-fire-max		10	20	demon-heal		5	7																																						0
jamellasunique447	447	100	1		1		8		dir			5	5000								bar		1	2	aura	118	3	3	abs-ltng%		25	50	res-all-max		10	20																																		0
jamellasunique448	448	100	1		1		19		kri			5	5000								sor		1	2	att-undead		119	257	dmg-ac		50	1069	att		120	215	str		19	29	crush		25	25	aura	98	3	7																						0
jamellasunique449	449	100	1		1		27		bld			5	5000								allskills		1	1	mana%		13	27	aura	114	3	9	mana		54	81	cast1		15	25	gold%		104	181	mana-kill		11	19	freeze		1	1	addxp		10	20														0
jamellasunique450	450	100	1		1		1		tkf			5	5000								aura	118	3	3	res-all-max		10	20	dmg-ltng		5	10																																						0
jamellasunique451	451	100	1		1		6		tax			5	5000								aura	118	3	3	ass		1	2	hp%		3	6	res-all		12	18	ease		100	100																														0
jamellasunique452	452	100	1		1		15		bkf			5	5000								allskills		1	1	res-cold-max		10	20	res-cold		22	34	extra-cold		65	130	freeze		1	1	regen		30	30	cheap		10	20																						0
jamellasunique453	453	100	1		1		16		bal			5	5000								sor		1	2	all-stats		9	13	extra-pois		66	132	res-all-max		10	20	move1		25	41																														0
jamellasunique454	454	100	1		1		1		jav			5	5000								allskills		1	1	res-fire		0	0	mana		2	3																																						0
jamellasunique455	455	100	1		1		12		pil			5	5000								enr		12	18	hp%		6	12	mana%		6	12	ama		1	2	res-cold		20	32	mana		24	36																										0
jamellasunique456	456	100	1		1		17		ssp			5	5000								aura	114	3	6	bar		1	2	cast1		15	25	freeze		1	1	regen		30	30																														0
jamellasunique457	457	100	1		1		26		glv			5	5000								dru		1	3	fireskill		1	3	mana		52	78	res-fire-max		10	20	dmg-fire		130	260	abs-fire		5	13																										0
jamellasunique458	458	100	1		1		30		tsp			5	5000								oskill	81	6	30	att%		130	290	att-demon		130	290	pierce		100	100	ease		100	100																														0
jamellasunique459	459	100	1		1		4		spr			5	5000								sor		1	2	vit		4	6	mana%		2	4																																						0
jamellasunique460	460	100	1		1		9		tri			5	5000								ama		1	2	enr		9	14	res-pois-max		10	20	dmg-pois	75	45	90	cast1		15	25	res-all		15	22																										0
jamellasunique461	461	100	1		1		17		brn			5	5000								dru		1	2	dmg-cold	150	85	170	regen		30	30	mana-kill		9	14	freeze		1	1	vit		17	26	abs-cold		5	9	half-freeze		1	1																		0
